train/loss_sparsity,train_params/lambda_sparsity,lr-Adam/f_dc,lr-Adam/opacity,train/loss_opaque,epoch,train_params/lambda_opaque,lr-Adam/xyz,lr-Adam/rotation,lr-Adam/f_rest,train_params/lambda_sds,lr-Adam/scaling,step
,,0.0125,0.01,,,,0.00023188224093431377,0.001,0.000625,,0.005,38
0.12598340213298798,1.0,,,0.039897043257951736,0,0.0,,,,1.0,,38
,,0.0125,0.01,,,,0.00023187688337882276,0.001,0.000625,,0.005,39
0.14528673887252808,1.0,,,0.056847091764211655,0,0.0,,,,1.0,,39
,,0.0125,0.01,,,,0.0002318715259471165,0.001,0.000625,,0.005,40
0.1344844400882721,1.0,,,0.0547078400850296,0,0.0,,,,1.0,,40
,,0.0125,0.01,,,,0.0002318661686391914,0.001,0.000625,,0.005,41
0.11859865486621857,1.0,,,0.028354253619909286,0,0.0,,,,1.0,,41
,,0.0125,0.01,,,,0.00023186081145504494,0.001,0.000625,,0.005,42
0.1476866602897644,1.0,,,0.07695561647415161,0,0.0,,,,1.0,,42
,,0.0125,0.01,,,,0.00023185545439467387,0.001,0.000625,,0.005,43
0.12910521030426025,1.0,,,0.06539806723594666,0,0.0,,,,1.0,,43
,,0.0125,0.01,,,,0.00023185009745807617,0.001,0.000625,,0.005,44
0.13202029466629028,1.0,,,0.04779920354485512,0,0.0,,,,1.0,,44
,,0.0125,0.01,,,,0.00023184474064524857,0.001,0.000625,,0.005,45
0.12930649518966675,1.0,,,0.046066321432590485,0,0.0,,,,1.0,,45
,,0.0125,0.01,,,,0.00023183938395618858,0.001,0.000625,,0.005,46
0.13075408339500427,1.0,,,0.043156884610652924,0,0.0,,,,1.0,,46
,,0.0125,0.01,,,,0.00023183402739089255,0.001,0.000625,,0.005,47
0.12262813746929169,1.0,,,0.0555231049656868,0,0.0,,,,1.0,,47
,,0.0125,0.01,,,,0.00023182867094935806,0.001,0.000625,,0.005,48
0.16324597597122192,1.0,,,0.09415978938341141,0,0.0,,,,1.0,,48
,,0.0125,0.01,,,,0.0002318233146315822,0.001,0.000625,,0.005,49
0.1705499291419983,1.0,,,0.09260477125644684,0,0.0,,,,1.0,,49
,,0.0125,0.01,,,,0.0002318179584375617,0.001,0.000625,,0.005,50
0.14013820886611938,1.0,,,0.059004709124565125,0,0.0,,,,1.0,,50
,,0.0125,0.01,,,,0.00023181260236729455,0.001,0.000625,,0.005,51
0.16019472479820251,1.0,,,0.10280673950910568,0,0.0,,,,1.0,,51
,,0.0125,0.01,,,,0.00023180724642077788,0.001,0.000625,,0.005,52
0.13705524802207947,1.0,,,0.05332925170660019,0,0.0,,,,1.0,,52
,,0.0125,0.01,,,,0.00023180189059800803,0.001,0.000625,,0.005,53
0.1268671751022339,1.0,,,0.04599390923976898,0,0.0,,,,1.0,,53
,,0.0125,0.01,,,,0.00023179653489898252,0.001,0.000625,,0.005,54
0.14532563090324402,1.0,,,0.062479957938194275,0,0.0,,,,1.0,,54
,,0.0125,0.01,,,,0.00023179117932369849,0.001,0.000625,,0.005,55
0.1512952446937561,1.0,,,0.07149933278560638,0,0.0,,,,1.0,,55
,,0.0125,0.01,,,,0.0002317858238721527,0.001,0.000625,,0.005,56
0.11839210242033005,1.0,,,0.03165590390563011,0,0.0,,,,1.0,,56
,,0.0125,0.01,,,,0.0002317804685443431,0.001,0.000625,,0.005,57
0.1672346293926239,1.0,,,0.08397996425628662,0,0.0,,,,1.0,,57
,,0.0125,0.01,,,,0.00023177511334026681,0.001,0.000625,,0.005,58
0.12971782684326172,1.0,,,0.06723935902118683,0,0.0,,,,1.0,,58
,,0.0125,0.01,,,,0.00023176975825992018,0.001,0.000625,,0.005,59
0.156362384557724,1.0,,,0.07180414348840714,0,0.0,,,,1.0,,59
,,0.0125,0.01,,,,0.00023176440330330075,0.001,0.000625,,0.005,60
0.12298331409692764,1.0,,,0.043595459312200546,0,0.0,,,,1.0,,60
,,0.0125,0.01,,,,0.00023175904847040524,0.001,0.000625,,0.005,61
0.11290092766284943,1.0,,,0.02482457086443901,0,0.0,,,,1.0,,61
,,0.0125,0.01,,,,0.0002317536937612316,0.001,0.000625,,0.005,62
0.16912364959716797,1.0,,,0.10911131650209427,0,0.0,,,,1.0,,62
,,0.0125,0.01,,,,0.00023174833917577662,0.001,0.000625,,0.005,63
0.15182724595069885,1.0,,,0.08127197623252869,0,0.0,,,,1.0,,63
,,0.0125,0.01,,,,0.0002317429847140378,0.001,0.000625,,0.005,64
0.15731732547283173,1.0,,,0.09457056224346161,0,0.0,,,,1.0,,64
,,0.0125,0.01,,,,0.0002317376303760115,0.001,0.000625,,0.005,65
